,Killifish,drosophila_M22_25deg,Wdah_chronic2,Wdah_chronic,drosophila_136,drosophila_195,drosophila_105,Wdah_control,smurfs_195,smurfs_136,smurfs_105,smurfs_91,smurfs_88,smurfs_83
xc/eta,9346.926,424.744,83.585,76.556,332.46,588.871,956.482,443.792,82.177,77.704,74.671,29.34,96.24,69.804
beta/eta,12.599,0.331,89.301,90.201,28.519,0.63,20.321,55.13,27.522,51.932,54.971,57.181,34.729,40.462
xc^2/epsilon,549.632,135.387,15.753,17.72,187.989,537.215,226.663,118.441,32.858,21.905,22.17,8.805,25.13,22.234
xc,916.187,4214.33,35.011,37.697,450.021,11590.105,1769.877,349.554,107.294,40.116,57.402,21.026,78.498,58.415
eta,0.098,9.922,0.419,0.492,1.354,19.682,1.85,0.788,1.306,0.516,0.769,0.717,0.816,0.837
beta,1.235,3.284,37.405,44.416,38.604,12.401,37.603,43.424,35.934,26.811,42.258,40.979,28.326,33.86
epsilon,1527.199,131183.41,77.812,80.195,1077.289,250049.688,13819.911,1031.633,350.356,73.469,148.619,50.212,245.203,153.474
sqrt(xc/eta),96.679,20.609,9.142,8.75,18.233,24.267,30.927,21.066,9.065,8.815,8.641,5.417,9.81,8.355
s= eta^0.5*xc^1.5/epsilon,5.685,6.569,1.723,2.025,10.31,22.138,7.329,5.622,3.625,2.485,2.566,1.626,2.562,2.661
beta*xc/epsilon,0.741,0.105,16.83,20.879,16.126,0.575,4.816,14.713,11.005,14.64,16.321,17.16,9.068,12.888
eta*xc/epsilon,0.0588,0.319,0.188,0.231,0.565,0.912,0.237,0.267,0.4,0.282,0.297,0.3,0.261,0.319
Fx=beta^2/eta*xc,0.017,0.000258,95.407,106.277,2.446,0.000674,0.432,6.849,9.218,34.708,40.468,111.442,12.532,23.453
Dx =beta*epsilon/eta*xc^2,0.0229,0.00244,5.669,5.09,0.152,0.00117,0.0897,0.465,0.838,2.371,2.479,6.494,1.382,1.82
Pk=beta*k/epsilon,0.000404,1.25e-05,0.24,0.277,0.0179,2.48e-05,0.00136,0.021,0.0513,0.182,0.142,0.408,0.0578,0.11
Fk=beta^2/eta*k,31.118,2.174,6680.543,8012.759,2201.903,15.627,1528.274,4787.9,1977.989,2784.683,4645.877,4686.413,1967.483,2740.034
Dk =beta*epsilon/eta*k^2,76963.647,173662.9,27794.521,28934.774,122893.721,630197.905,1123356.366,227496.896,38570.465,15261.537,32678.733,11484.597,34062.388,24839.117
Fk^2/Dk=beta^3/eta*epsilon,0.0126,2.72e-05,1605.699,2218.932,39.452,0.000388,2.079,100.766,101.436,508.105,660.496,1912.341,113.644,302.257
epsilon/beta^2,1001.394,12165.762,0.0556,0.0407,0.723,1625.963,9.774,0.547,0.271,0.102,0.0832,0.0299,0.306,0.134
k/beta,0.405,0.152,0.0134,0.0113,0.013,0.0403,0.0133,0.0115,0.0139,0.0186,0.0118,0.0122,0.0177,0.0148
k^2/epsilon,0.000164,1.91e-06,0.00321,0.00312,0.000232,1e-06,1.81e-05,0.000242,0.000714,0.0034,0.00168,0.00498,0.00102,0.00163
eta/xc,0.000107,0.00235,0.012,0.0131,0.00301,0.0017,0.00105,0.00225,0.0122,0.0129,0.0134,0.0341,0.0104,0.0143
beta/xc,0.00135,0.000779,1.068,1.178,0.0858,0.00107,0.0212,0.124,0.335,0.668,0.736,1.949,0.361,0.58
epsilon/xc^2,0.00182,0.00739,0.0635,0.0564,0.00532,0.00186,0.00441,0.00844,0.0304,0.0457,0.0451,0.114,0.0398,0.045
k/xc,0.000546,0.000119,0.0143,0.0133,0.00111,4.31e-05,0.000283,0.00143,0.00466,0.0125,0.00871,0.0238,0.00637,0.00856
best fit no ext hazard_MedianLifetime,110.57,22.98,77.94,83.22,48.63,31.97,51.65,73.37,32.07,50.31,54.19,47.89,34.85,40.63
best fit no ext hazard_MaxLifetime,214.0,59.73,100.0,100.0,73.73,51.53,100.0,100.0,55.37,74.19,76.98,68.29,61.15,63.89
best fit_MedianLifetime,110.49,22.96,77.86,83.06,48.55,32.05,51.73,73.37,32.19,50.25,54.31,47.83,34.93,40.73
best fit_MaxLifetime,214.0,59.29,100.0,100.0,71.33,54.75,100.0,100.0,53.03,79.18,78.4,67.47,64.45,64.11
data_MedianLifetime,111.0,21.0,79.0,83.0,49.0,32.0,52.0,74.0,31.0,51.0,55.0,50.0,37.0,41.0
data_MaxLifetime,220.0,49.0,100.5,104.0,69.0,53.0,79.0,99.25,47.0,68.0,68.0,60.0,50.0,58.0
ML_lnprob,-510.65894099422235,-5330.205356952376,-1517.127991066673,-1341.9137004768656,-3597.4853389090435,-1908.181286539202,-3203.0567306669295,-1902.5196869413653,-746.8409017348683,-753.1972942069295,-902.2873072606452,-985.2029936182588,-432.1788369662812,-379.093364335595
